Library Name,State,Visits,Total Programs,Circulation
ANCHOR POINT PUBLIC LIBRARY,AK,5127,150,8684
ANCHORAGE PUBLIC LIBRARY,AK,261807,758,880890
ANDERSON COMMUNITY LIBRARY,AK,421,,766
KUSKOKWIM CONSORTIUM LIBRARY,AK,12817,80,9980
BIG LAKE PUBLIC LIBRARY,AK,27063,249,28701
CANTWELL COMMUNITY LIBRARY,AK,480,8,775
CHINIAK PUBLIC LIBRARY,AK,2054,144,2303
COLD BAY PUBLIC LIBRARY,AK,1196,14,1722
COOPER LANDING COMMUNITY LIBRARY,AK,1155,4,349
CORDOVA PUBLIC LIBRARY,AK,11475,224,13162
CRAIG PUBLIC LIBRARY,AK,5472,16,17254
DELTA COMMUNITY LIBRARY,AK,35949,178,40001
DILLINGHAM PUBLIC LIBRARY,AK,3568,108,6601
EAGLE PUBLIC LIBRARY,AK,1020,3,3731
FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARIES,AK,203237,432,538267
CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,AK,2664,427,7549
COPPER VALLEY COMMUNITY LIBRARY,AK,1560,,6018
GUSTAVUS PUBLIC LIBRARY,AK,3327,75,9950
HAINES BOROUGH PUBLIC LIBRARY,AK,37500,1400,88180
TRI-VALLEY COMMUNITY LIBRARY,AK,1162,11,3590
HOLLIS PUBLIC LIBRARY,AK,1724,46,2278
HOMER PUBLIC LIBRARY,AK,67357,232,129584
HOPE SUNRISE COMMUNITY LIBRARY,AK,1541,6,757
JUNEAU PUBLIC LIBRARIES,AK,137339,214,211802
KASILOF PUBLIC LIBRARY,AK,2548,0,4426
KENAI COMMUNITY LIBRARY,AK,48220,274,97507
KETCHIKAN PUBLIC LIBRARY,AK,33824,44,82167
KODIAK PUBLIC LIBRARY,AK,34780,143,52546
CHUKCHI CONSORTIUM LIBRARY,AK,1259,8,1262
MCGRATH COMMUNITY LIBRARY,AK,190,6,781
CENTENNIAL LIBRARY,AK,1040,4,108
MARTIN MONSEN REGIONAL LIBRARY,AK,7359,10,12057
NENANA PUBLIC LIBRARY,AK,350,23,3950
NINILCHIK COMMUNITY LIBRARY,AK,3041,3,6710
KEGOAYAH KOZGA LIBRARY,AK,5000,38,7660
PALMER PUBLIC LIBRARY,AK,38568,89,183816
PELICAN PUBLIC LIBRARY,AK,2080,0,1951
PETERSBURG PUBLIC LIBRARY,AK,30000,316,60558
JESSIE WAKEFIELD MEMORIAL LIBRARY,AK,2040,,5252
SELDOVIA PUBLIC LIBRARY,AK,2082,4,2084
SEWARD COMMUNITY LIBRARY AND MUSEUM,AK,84215,33,6364
SITKA PUBLIC LIBRARY,AK,68595,83,75679
SKAGWAY PUBLIC LIBRARY,AK,9959,211,8985
JOYCE K. CARVER MEMORIAL SOLDOTNA PUBLIC LIBRARY,AK,67347,181,146031
SUTTON PUBLIC LIBRARY/COMMUNITY RESOURCE CENTER,AK,16494,258,115802
TAKOTNA COMMUNITY LIBRARY,AK,36,0,29
